"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"O60566","BUB1B","3.07341","1.46751"
"Q8WWY3","PRPF31","5.25536","1.4662"
"O00330","PDHX","5.82106","1.46457"
"Q15582","TGFBI","5.28781","1.46202"
"Q6P5R6","RPL22L1","6.34792","1.45986"
"A6NIH7","UNC119B","3.63012","1.45513"
"Q8WXI7","MUC16","6.13013","1.45301"
"O43678","NDUFA2","6.18903","1.45177"
"Q96JP5","ZFP91","4.17041","1.45085"
"Q8N5N7","MRPL50","6.4077","1.44953"
"Q12882","DPYD","6.08418","1.44695"
"Q8IWL3","HSCB","3.70787","1.44665"
"Q96K21","ZFYVE19","3.99091","1.44466"
"P36969","GPX4","5.00002","1.44078"
"Q96EI5","TCEAL4","4.31391","1.43985"
"P09958","FURIN","3.43781","1.43791"
"P12109","COL6A1","5.668","1.4379"
"P12277","CKB","8.8934","1.43719"
"Q9P1F3","ABRACL","6.29286","1.43607"
"Q5TFE4","NT5DC1","3.64824","1.43578"
"Q92610","ZNF592","2.72731","1.4346"
"Q9Y605","MRFAP1","2.83459","1.43312"
"Q6P1R4","DUS1L","2.3939","1.43101"
"P02452","COL1A1","6.38448","1.42951"
"O96013","PAK4","4.13346","1.42891"
"Q68CP9","ARID2","3.67901","1.42865"
"Q9NPC6","MYOZ2","3.83786","1.42847"
"Q9H7L9","SUDS3","3.82732","1.42831"
"P56385","ATP5ME","8.82107","1.42721"
"Q96LL9","DNAJC30","3.53819","1.4238"
"Q7L2J0","MEPCE","4.27538","1.41751"
"P51161","FABP6","5.9101","1.41593"
"O75223","GGCT","5.70799","1.41456"
"Q96I51","RCC1L","4.06235","1.41326"
"Q9NX14","NDUFB11","7.54408","1.41304"
"Q9P270","SLAIN2","3.14999","1.41241"
"Q8N5K1","CISD2","6.04977","1.41083"
"O43464","HTRA2","5.09489","1.41026"
"Q9HD26","GOPC","4.27364","1.40975"
"Q5RI15","COX20","4.29208","1.40582"
"Q9H6V9","LDAH","3.9356","1.40541"
"Q96ER9","CCDC51","3.92504","1.40426"
"Q15388","TOMM20","7.03667","1.40365"
"Q9H0U9","TSPYL1","5.00477","1.40268"
"Q9UL25","RAB21","5.48855","1.4019"
"P09172","DBH","4.61239","1.40068"
"Q9NX05","FAM120C","3.98143","1.39917"
"Q9Y676","MRPS18B","4.51925","1.39914"
"P61457","PCBD1","6.88238","1.39888"
"P32119","PRDX2","9.72274","1.39876"
"Q16718","NDUFA5","6.62933","1.39832"
"Q9Y6G3","MRPL42","3.2329","1.39632"
"O75150","RNF40","4.21525","1.39514"
"Q969Y2","GTPBP3","4.02657","1.39489"
"Q6L8Q7","PDE12","4.94931","1.39287"
"Q4G0J3","LARP7","5.61646","1.39261"
"Q3LXA3","TKFC","4.56976","1.38941"
"Q13610","PWP1","5.47178","1.38761"
"Q71RC2","LARP4","4.50971","1.3862"
"Q9Y5J9","TIMM8B","5.65489","1.38431"
"Q08188","TGM3","5.66666","1.38137"
"Q9Y5S9","RBM8A","6.24149","1.38117"
"P20783","NTF3","4.60121","1.3797"
"Q8WVK2","SNRNP27","4.53124","1.37678"
"P82909","MRPS36","5.52165","1.37335"
"P80303","NUCB2","6.46955","1.3728"
"P45974","USP5","6.69896","1.37217"
"O95777","LSM8","6.93988","1.37108"
"P25705","ATP5F1A","11.1183","1.37074"
"P19367","HK1","7.35442","1.36658"
"O60701","UGDH","6.90919","1.36654"
"Q9NRY5","FAM114A2","4.02036","1.36606"
"Q06210","GFPT1","5.28781","1.36536"
"Q00169","PITPNA","3.73458","1.36515"
"Q9BQ48","MRPL34","4.00894","1.36419"
"Q8TBP5","FAM174A","4.02688","1.364"
"P45954","ACADSB","5.18913","1.36011"
"Q8IZ73","RPUSD2","2.12487","1.35917"
"Q5T1V6","DDX59","2.62286","1.35871"
"Q9NSU2","TREX1","3.59644","1.35859"
"Q96AQ8","MCUR1","2.73049","1.35776"
"Q6P1J9","CDC73","4.87351","1.35625"
"Q9ULD0","OGDHL","5.83511","1.35555"
"P04040","CAT","6.5358","1.35515"
"Q86T03","PIP4P1","3.53233","1.35475"
"Q3B726","POLR1F","3.64157","1.35427"
"Q8NI77","KIF18A","3.07176","1.35367"
"A5PL33","KRBA1","5.71592","1.35333"
"Q9H082","RAB33B","4.62657","1.35088"
"Q13405","MRPL49","5.22684","1.34937"
"P30086","PEBP1","8.99947","1.34912"
"O60763","USO1","5.69005","1.3488"
"Q99942","RNF5","4.78674","1.34762"
"O95182","NDUFA7","5.1041","1.34759"
"P48645","NMU","3.47605","1.34512"
"O94842","TOX4","4.25113","1.34113"
"Q04726","TLE3","3.46383","1.34113"
"P41219","PRPH","6.91133","1.34045"
"Q96CN9","GCC1","2.78533","1.3403"
"P30038","ALDH4A1","5.47486","1.33792"
"O75380","NDUFS6","5.58003","1.33769"
"Q9BRX5","GINS3","4.0746","1.33764"
"O14874","BCKDK","3.40524","1.33601"
"Q9Y618","NCOR2","3.43424","1.33345"
"P17174","GOT1","6.24526","1.33053"
"Q8NBJ7","SUMF2","5.44276","1.32983"
"Q4VXU2","PABPC1L","5.39985","1.32969"
"P82930","MRPS34","5.10363","1.32896"
"Q9H1Z4","WDR13","3.10948","1.32887"
"P61201","COPS2","4.20163","1.32837"
"P23284","PPIB","10.2216","1.3282"
"P42126","ECI1","6.45326","1.3265"
"Q15102","PAFAH1B3","8.01548","1.32612"
"Q9UII2","ATP5IF1","6.48574","1.32575"
"Q6NZY4","ZCCHC8","4.45913","1.32438"
"O43819","SCO2","4.15598","1.32428"
"Q9BYC8","MRPL32","2.97813","1.32246"
"P10606","COX5B","9.54272","1.31984"
"Q9BQ61","TRIR","5.32461","1.31799"
"Q13438","OS9","3.77635","1.31744"
"O75446","SAP30","3.1581","1.31726"
"Q99700","ATXN2","2.87267","1.317"
"Q9H1B5","XYLT2","4.48183","1.31658"
"O00193","C11orf58","3.08082","1.31628"
"P51649","ALDH5A1","5.71915","1.31616"
"Q86TS9","MRPL52","4.14315","1.31572"
"Q96GA7","SDSL","3.42777","1.31559"
"P10275","AR","2.47041","1.31384"
"Q99757","TXN2","3.44092","1.31306"
"Q9Y232","CDYL","4.60705","1.3125"
"O75063","FAM20B","4.16165","1.31201"
"Q9H0U6","MRPL18","5.84483","1.30983"
"Q9UM54","MYO6","4.5001","1.30949"
"Q9UIL1","SCOC","4.19474","1.30911"
"Q96S55","WRNIP1","4.87726","1.30851"
"Q7Z7F7","MRPL55","5.03563","1.3084"
"Q29RF7","PDS5A","4.69667","1.30779"
"Q6P1L8","MRPL14","3.61678","1.30626"
"Q9NYK5","MRPL39","5.59553","1.30615"
"Q7Z412","PEX26","2.35028","1.30368"
"Q9UGM6","WARS2","3.52064","1.30236"
"Q9HD33","MRPL47","5.10906","1.3022"
"P40926","MDH2","10.6408","1.30154"
"Q969Q0","RPL36AL","5.69998","1.30073"
"O75439","PMPCB","6.31637","1.30045"
"Q99807","COQ7","3.70971","1.29872"
"Q9UN81","L1RE1","5.10496","1.29706"
"Q9Y4B6","DCAF1","2.97191","1.29668"
"Q9BRJ6","C7orf50","5.42883","1.29625"
"Q9H4A4","RNPEP","5.17623","1.29485"
"P06576","ATP5F1B","10.6691","1.29341"
"Q5ST30","VARS2","2.57366","1.29317"
"Q8IUR7","ARMC8","4.47406","1.29131"
"P53597","SUCLG1","6.52242","1.28827"
"Q96KB5","PBK","5.06135","1.2882"
"Q68E01","INTS3","2.63238","1.28696"
"Q6Y7W6","GIGYF2","4.2633","1.28641"
"Q96NB2","SFXN2","3.91668","1.28177"
"Q9Y6Q5","AP1M2","3.83702","1.28012"
"Q15005","SPCS2","4.96438","1.27952"
"Q6PML9","SLC30A9","3.38739","1.27927"
"P19404","NDUFV2","5.014","1.27864"
"P09110","ACAA1","6.19203","1.27852"
"Q9NVS9","PNPO","4.35572","1.27822"
