Uniprot ID,Symbol,Protein Intensity,Prot_Z_Score,read_count,fpkm,tpm,driver gene method_of_action
P47985,UQCRFS1,4.61652,1.50127,5721,26.88,97.66,
Q9NUL7,DDX28,3.30432,1.50125,1531,11.53,41.89,
P35914,HMGCL,4.97463,1.49853,2084,6.01,21.83,
Q68D10,SPTY2D1,4.34626,1.49697,3929,10.68,38.8,
Q3SY69,ALDH1L2,4.8319,1.49615,12653,24.29,88.25,
Q9Y383,LUC7L2,5.35491,1.49569,7850,20.3,73.75,
Q12981,BNIP1,4.52714,1.49372,878,5.88,21.36,
Q9Y5K6,CD2AP,5.44035,1.48922,13753,33.27,120.87,
Q9H6Q4,CIAO3,2.78134,1.48806,2847,5.74,20.85,
Q8N163,CCAR2,6.92222,1.4872,11419,28.54,103.69,
Q01415,GALK2,3.76483,1.48679,2520,5.46,19.84,
P16104,H2AX,5.99446,1.48176,4850,49.07,178.27,
O43633,CHMP2A,4.35505,1.48047,5799,44.48,161.6,
Q8N4Y2,CRACR2B,7.90726,1.47987,2409,10.05,36.51,
P05413,FABP3,6.41629,1.47986,265,4.22,15.33,
P26583,HMGB2,8.83587,1.47902,72569,427.02,1551.37,
Q96C90,PPP1R14B,5.24166,1.47861,5521,54.47,197.89,
Q9BUH6,PAXX,4.82951,1.47808,2273,27.15,98.64,
P10515,DLAT,7.65822,1.47662,10846,36.66,133.19,
A1L020,MEX3A,3.56685,1.47649,2045,5.45,19.8,
O76031,CLPX,5.24719,1.47641,5917,17.69,64.27,
Q8NFV4,ABHD11,6.06748,1.47602,3921,27.97,101.62,
P11021,HSPA5,10.9238,1.47528,101460,423.94,1540.18,
Q9C037,TRIM4,2.60937,1.47519,2925,9.77,35.49,
Q96EK6,GNPNAT1,4.21619,1.47415,11371,46.32,168.28,
Q3ZCW2,LGALSL,3.12094,1.47376,5029,20.51,74.51,
Q9H4B0,OSGEPL1,2.99317,1.47267,2519,11.48,41.71,
A6NE01,FAM186A,5.56369,1.47082,59,0.12,0.44,ambiguous
Q712K3,UBE2R2,3.94062,1.46823,7393,29.62,107.61,
Q8WUZ0,BCL7C,3.64681,1.46813,1798,6.68,24.27,
P51659,HSD17B4,7.04662,1.4681,17389,34.5,125.34,
O60566,BUB1B,3.07341,1.46751,10028,36.58,132.9,LoF
Q8WWY3,PRPF31,5.25536,1.4662,3433,20.97,76.18,
O00330,PDHX,5.82106,1.46457,5957,25.87,93.99,
Q15582,TGFBI,5.28781,1.46202,77,0.16,0.58,
Q6P5R6,RPL22L1,6.34792,1.45986,8874,62.3,226.34,
A6NIH7,UNC119B,3.63012,1.45513,16435,51.66,187.68,
Q8WXI7,MUC16,6.13013,1.45301,4,0.0,0.0,
Q8WXI7,MUC16,6.13013,1.45301,4,0.0,0.0,
Q8WXI7,MUC16,6.13013,1.45301,4,0.0,0.0,
Q8WXI7,MUC16,6.13013,1.45301,4,0.0,0.0,
O43678,NDUFA2,6.18903,1.45177,2697,29.6,107.54,
Q96JP5,ZFP91,4.17041,1.45085,12879,40.29,146.37,
Q8N5N7,MRPL50,6.4077,1.44953,2563,12.56,45.63,
Q12882,DPYD,6.08418,1.44695,1389,3.52,12.79,
Q8IWL3,HSCB,3.70787,1.44665,640,7.15,25.98,
Q96K21,ZFYVE19,3.99091,1.44466,2849,9.73,35.35,
P36969,GPX4,5.00002,1.44078,18299,148.0,537.69,
Q96EI5,TCEAL4,4.31391,1.43985,3439,22.3,81.02,
P09958,FURIN,3.43781,1.43791,3157,10.9,39.6,
P12109,COL6A1,5.668,1.4379,237,0.72,2.62,
P12277,CKB,8.8934,1.43719,24853,152.05,552.4,
Q9P1F3,ABRACL,6.29286,1.43607,7374,100.34,364.54,
Q5TFE4,NT5DC1,3.64824,1.43578,4542,10.15,36.88,
Q92610,ZNF592,2.72731,1.4346,11927,23.94,86.97,
Q9Y605,MRFAP1,2.83459,1.43312,22923,140.98,512.18,
Q6P1R4,DUS1L,2.3939,1.43101,10534,28.67,104.16,
P02452,COL1A1,6.38448,1.42951,594,0.99,3.6,Act
O96013,PAK4,4.13346,1.42891,4519,10.37,37.67,
Q68CP9,ARID2,3.67901,1.42865,9476,12.76,46.36,LoF
Q9NPC6,MYOZ2,3.83786,1.42847,3,0.02,0.07,
Q9H7L9,SUDS3,3.82732,1.42831,18562,52.89,192.15,
P56385,ATP5ME,8.82107,1.42721,2708,47.04,170.9,
Q96LL9,DNAJC30,3.53819,1.4238,776,5.1,18.53,
Q7L2J0,MEPCE,4.27538,1.41751,5944,28.38,103.11,
P51161,FABP6,5.9101,1.41593,24,0.34,1.24,
O75223,GGCT,5.70799,1.41456,8416,86.05,312.62,
Q96I51,RCC1L,4.06235,1.41326,8348,32.49,118.04,
Q9NX14,NDUFB11,7.54408,1.41304,2550,29.36,106.67,
