dataset_id,id,model_id,gene_id,read_count,fpkm,tpm,data_source,dataset_name,model_name,symbol
15,97813183,SIDM00499,SIDG09313,1180,1.75,6.36,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXN3
15,97813184,SIDM00499,SIDG09314,20,0.3,1.09,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXN3-AS1
15,97813187,SIDM00499,SIDG09317,46,0.22,0.8,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXN4
15,97813188,SIDM00499,SIDG09318,591,1.66,6.03,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXO1
15,97813190,SIDM00499,SIDG09320,2734,5.78,21.0,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXO3
15,97813191,SIDM00499,SIDG09321,111,0.94,3.42,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXO3B
15,97813192,SIDM00499,SIDG09322,612,2.9,10.54,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXO4
15,97813193,SIDM00499,SIDG09323,112,0.76,2.76,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXO6
15,97813194,SIDM00499,SIDG09324,1075,1.29,4.69,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXP1
15,97813197,SIDM00499,SIDG09327,276,0.29,1.05,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXP2
15,97813199,SIDM00499,SIDG09329,1373,3.63,13.19,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXP4
15,97813201,SIDM00499,SIDG09331,0,0.0,0.0,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXQ1
15,97813204,SIDM00499,SIDG09334,15015,43.34,157.46,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXRED1
15,97813205,SIDM00499,SIDG09335,5859,17.15,62.31,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FOXRED2
15,97813207,SIDM00499,SIDG09337,1467,6.09,22.13,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FPGS
15,97813208,SIDM00499,SIDG09338,1174,4.59,16.68,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FPGT
15,97813212,SIDM00499,SIDG09342,4,0.02,0.07,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FPR3
15,97813213,SIDM00499,SIDG09413,2607,5.23,19.0,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FRA10AC1
15,97813214,SIDM00499,SIDG09457,6885,5.52,20.05,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FRAS1
15,97813215,SIDM00499,SIDG09458,316,1.95,7.08,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FRAT1
15,97813216,SIDM00499,SIDG09459,803,5.93,21.54,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FRAT2
15,97813217,SIDM00499,SIDG09467,86,0.13,0.47,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FREM1
15,97813218,SIDM00499,SIDG09468,816,0.82,2.98,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FREM2
15,97813221,SIDM00499,SIDG09471,1981,18.95,68.85,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FRG1
15,97813223,SIDM00499,SIDG09473,1513,14.19,51.55,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FRG1BP
15,97813224,SIDM00499,SIDG09477,983,9.65,35.06,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FRG1HP
15,97813225,SIDM00499,SIDG09478,447,7.84,28.48,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FRG1JP
15,97813229,SIDM00499,SIDG09482,31,0.24,0.87,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FRG2C
15,97813231,SIDM00499,SIDG09485,2,0.03,0.11,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FRG2FP
15,97813240,SIDM00499,SIDG09494,2898,3.58,13.01,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FRK
15,97813242,SIDM00499,SIDG09496,63,0.16,0.58,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FRMD3
