,source,target,Confidence Value,width
473,SNW1,DDRGK1,0.63,1
474,NR2C2,TRIM28,0.73,1
475,NR2C2,TRIM25,0.63,1
476,NR2C2,NXF1,0.63,1
477,NR2C2,WDR5,0.63,1
478,NR2C2,ELAVL1,0.63,1
479,XPO1,ELAVL1,0.82,1
480,XPO1,CFTR,0.85,1
481,XPO1,SUMO2,0.79,1
482,XPO1,NXF1,0.63,1
483,XPO1,MCM3AP,0.63,1
484,XPO1,WDR5,0.73,1
485,XPO1,CTNNB1,0.73,1
486,XPO1,TRIM25,0.63,1
487,XPO1,HERC2,0.63,1
488,XPO1,SUMO1,0.63,1
489,XPO1,DDRGK1,0.63,1
490,XPO1,KIF23,0.63,1
491,XPO1,CDC42,0.56,1
492,XPO1,CIT,0.63,1
493,ELAVL1,SUMO2,0.73,1
494,ELAVL1,CIT,0.73,1
495,ELAVL1,CBFB,0.63,1
496,ELAVL1,CDC42,0.73,1
497,ELAVL1,SUMO1,0.63,1
498,ELAVL1,COPS5,0.72,1
499,ELAVL1,CUL3,0.72,1
500,ELAVL1,CTNNB1,0.78,1
501,ELAVL1,TRIM25,0.63,1
502,ELAVL1,CFTR,0.63,1
503,ELAVL1,PRC1,0.63,1
504,ELAVL1,DDRGK1,0.63,1
505,ELAVL1,KIF23,0.63,1
506,ELAVL1,TRIM28,0.63,1
507,PRC1,KIF23,0.78,1
508,PRC1,SUMO2,0.78,1
509,PRC1,WDR5,0.63,1
510,PRC1,TRIM25,0.63,1
511,PRC1,CTNNB1,0.63,1
512,PRC1,TRIM28,0.63,1
513,PRC1,NXF1,0.63,1
514,PRC1,SPEN,0.63,1
515,PRC1,DDRGK1,0.63,1
516,PRC1,CIT,0.63,1
517,SPEN,SUMO1,0.56,1
518,CFTR,SUMO2,0.63,1
519,CFTR,SUMO1,0.63,1
520,CFTR,TRIM28,0.63,1
521,CFTR,CTNNB1,0.63,1
522,CFTR,TRIM25,0.63,1
523,CFTR,CDC42,0.56,1
524,COPS5,CUL3,0.89,1
525,COPS5,CTNNB1,0.73,1
526,COPS5,TRIM28,0.72,1
527,COPS5,NXF1,0.72,1
528,COPS5,WDR5,0.72,1
529,SUMO2,CUL3,0.65,1
530,SUMO2,TRIM28,0.79,1
531,SUMO2,WDR5,0.63,1
532,SUMO2,SUMO1,0.79,1
533,SUMO2,APEX1,0.63,1
534,SUMO2,NXF1,0.73,1
535,SUMO2,KIF23,0.78,1
536,SUMO2,RB1,0.52,1
537,SUMO2,TRIM25,0.78,1
538,SUMO2,CTNNB1,0.63,1
539,SUMO2,ANLN,0.56,1
540,TRIM28,SUMO1,0.81,1
541,TRIM28,CUL3,0.72,1
542,TRIM28,TRIM25,0.73,1
543,TRIM28,CTNNB1,0.63,1
544,TRIM28,CBFB,0.63,1
545,TRIM28,CIT,0.63,1
546,TRIM28,ANLN,0.63,1
547,TRIM28,DDRGK1,0.63,1
548,TRIM28,NXF1,0.63,1
549,TRIM28,CDC42,0.78,1
550,TRIM28,WDR5,0.63,1
551,ANLN,SUMO1,0.56,1
552,ANLN,CIT,0.83,1
553,ANLN,TRIM25,0.63,1
