,source,target,Confidence Value,width
426,ELAVL1,CTNNB1,0.78,1.0
427,ELAVL1,TRIM25,0.63,1.0
428,ELAVL1,CFTR,0.63,1.0
429,ELAVL1,PRC1,0.63,1.0
430,ELAVL1,DDRGK1,0.63,1.0
431,ELAVL1,TRIM28,0.63,1.0
432,ELAVL1,MOV10,0.63,1.0
433,ELAVL1,SQSTM1,0.63,1.0
434,PRC1,SUMO2,0.78,1.0
435,PRC1,WDR5,0.63,1.0
436,PRC1,TRIM25,0.63,1.0
437,PRC1,CTNNB1,0.63,1.0
438,PRC1,TRIM28,0.63,1.0
439,PRC1,NXF1,0.63,1.0
440,PRC1,SQSTM1,0.63,1.0
441,PRC1,SPEN,0.63,1.0
442,PRC1,DDRGK1,0.63,1.0
443,PRC1,CIT,0.63,1.0
444,SPEN,SUMO1,0.56,1.0
445,CFTR,SUMO2,0.63,1.0
446,CFTR,SUMO1,0.63,1.0
447,CFTR,SQSTM1,0.86,1.0
448,CFTR,MTOR,0.63,
449,CFTR,MOV10,0.63,1.0
450,CFTR,STAU1,0.82,1.0
451,CFTR,TRIM28,0.63,1.0
452,CFTR,CTNNB1,0.63,1.0
453,CFTR,TRIM25,0.63,1.0
454,CFTR,CDC42,0.56,1.0
455,CFTR,RAC1,0.78,1.0
456,SUMO2,CUL3,0.65,1.0
457,SUMO2,TRIM28,0.79,1.0
458,SUMO2,WDR5,0.63,1.0
459,SUMO2,SUMO1,0.79,1.0
460,SUMO2,RAC1,0.56,1.0
461,SUMO2,APEX1,0.63,1.0
462,SUMO2,NXF1,0.73,1.0
463,SUMO2,RB1,0.52,1.0
464,SUMO2,TRIM25,0.78,1.0
465,SUMO2,CTNNB1,0.63,1.0
466,SUMO2,ANLN,0.56,1.0
467,TRIM28,SUMO1,0.81,1.0
468,TRIM28,CUL3,0.72,1.0
469,TRIM28,STAU1,0.74,1.0
470,TRIM28,TRIM25,0.73,1.0
471,TRIM28,CTNNB1,0.63,1.0
472,TRIM28,CBFB,0.63,1.0
473,TRIM28,CIT,0.63,1.0
474,TRIM28,ANLN,0.63,1.0
475,TRIM28,DDRGK1,0.63,1.0
476,TRIM28,MOV10,0.63,1.0
477,TRIM28,NXF1,0.63,1.0
478,TRIM28,MTOR,0.63,
479,TRIM28,CDC42,0.78,1.0
480,TRIM28,WDR5,0.63,1.0
481,ANLN,SUMO1,0.56,1.0
482,ANLN,CIT,0.83,1.0
483,ANLN,TRIM25,0.63,1.0
484,ANLN,APEX1,0.63,1.0
485,ANLN,MOV10,0.63,1.0
486,ANLN,SQSTM1,0.82,1.0
487,MTOR,SQSTM1,0.74,
488,MTOR,MOV10,0.63,
489,MTOR,SUMO1,0.52,
490,MTOR,NXF1,0.63,
491,MTOR,TRIM25,0.63,
492,MTOR,STAU1,0.63,
493,MTOR,RAC1,0.63,
494,APEX1,SUMO1,0.63,1.0
495,APEX1,NXF1,0.63,1.0
496,APEX1,WDR5,0.63,1.0
497,APEX1,CDC42,0.56,1.0
498,RB1,SUMO1,0.65,1.0
499,MCM3AP,RAC1,0.63,1.0
500,MCM3AP,CDC42,0.63,1.0
501,MCM3AP,NXF1,0.63,1.0
502,CUL3,SQSTM1,0.76,1.0
503,CUL3,NXF1,0.72,1.0
504,CUL3,WDR5,0.72,1.0
505,CUL3,MOV10,0.72,1.0
506,CUL3,CTNNB1,0.72,1.0
507,CUL3,STAU1,0.72,1.0
508,CUL3,CDC42,0.63,1.0
509,CUL3,CIT,0.63,1.0
510,MOV10,STAU1,0.82,1.0
511,MOV10,CTNNB1,0.63,1.0
512,MOV10,SQSTM1,0.63,1.0
513,MOV10,DDRGK1,0.63,1.0
514,TRIM25,SUMO1,0.63,1.0
515,TRIM25,SQSTM1,0.76,1.0
516,TRIM25,HERC2,0.63,1.0
517,TRIM25,CTNNB1,0.63,1.0
518,TRIM25,DDRGK1,0.63,1.0
519,TRIM25,STAU1,0.63,1.0
520,CTNNB1,SUMO1,0.52,1.0
521,CTNNB1,CDC42,0.63,1.0
522,CTNNB1,NXF1,0.63,1.0
523,CTNNB1,HERC2,0.73,1.0
524,CTNNB1,STAU1,0.63,1.0
525,CTNNB1,RAC1,0.73,1.0
526,CTNNB1,CBFB,0.63,1.0
